"star_code":"Star_name":"distance from the sun":"Equivalent Temperature":"relative mass":"Radius":"RELATIVE LUMINOSITY":"Stellar Class"
2415:"Stockpoll":251,813:3014:0,2:0,07:0,02:"M|4|V"
503:"Celentaro":487,178:4589:0,5:0,82:NA:"K|2|V"
740:"Dresden":218,491:3843:0,7:0,73:0,16:"K|4|V"
2929:"Albion":1792,847:2632:0,2:0,31:0,04:"M|2|V"
94:"Alshain":284,884:4422:0,8:0,81:0,1:"K|2|V"
2614:"Ueda":208,408:2804:0,2:0,21:0,08:"M|5|V"
1923:"O'Fallon":324,418:2455:0,2:0,63:0,02:"M|4|V"
850:"Far Reach":607,714:5625:0,9:1,04:0,96:"G|2|V"
1180:"Illium":485,719:4226:0,7:0,74:0,52:"K|5|V"
1388:"Kola":513,527:2964:NA:0,44:0,07:"M|4|V"
361:"Bondurant":169,039:4604:0,5:0,87:0,48:"K|1|V"
2114:"Ramgarh":451,79:2846:0,4:0,32:0,03:"M|4|V"
553:"Chouli":334,009:4087:0,5:0,84:0,45:"K|6|V"
902:"Freisland":263,241:5269:1:0,98:0,68:"G|4|V"
2856:"Addhara":531,91:3292:0,2:0,47:0,07:"M|2|V"
292:"Bell":151,397:4418:0,7:0,94:0,08:"K|3|V"
1921:"Odell":268,784:5393:NA:1,07:0,97:"G|2|V"
315:"Beten Kaitos":201,724:2791:0,1:0,38:0,06:"M|4|V"
1060:"Harrow's Sun":271,312:2640:0,4:0,66:0,05:"M|3|V"
2216:"Salford":527,031:4360:0,5:0,72:0,48:"K|3|V"
2607:"Tuscarawas":402,26:NA:0,6:0,71:0,14:"K|7|V"
1392:"Komephoros":98,1:3152:0,2:0,11:0,01:"M|2|V"
690:"Denebola":37,878:3062:0,3:0,38:0,03:"M|3|V"
2749:"Westfield":259,004:2961:0,3:0,63:NA:"M|2|V"
2541:"Tianamon":129,453:NA:NA:0,21:0,01:"M|0|V"
1592:"Mannedorf":232,161:2519:0,1:0,66:0,06:"M|8|V"
2276:"Semichi":368,655:2797:0,3:0,47:0,04:"M|6|V"
1721:"Misery":287,124:5203:1:1:1,16:"G|5|V"
828:"Euclid":356,529:2640:0,3:0,54:NA:"M|2|V"
2750:"Westover":370,149:2491:0,4:0,6:0,05:"M|3|V"
